Nuts_Sample_Code,Project,Sample Date,Transect,Station,Latitude,Longitude,DepthorPressure (m),NO3 (um),NO2 (um)
052117NH03,Ship of Opportunity,21-May-17,Newport Hydrographic,NH03,44.6517,-124.13,25,25.9269,0.2807
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,20,25.8668,0.3277
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,25,29.7361,0.291
052117NH03,Ship of Opportunity,21-May-17,Newport Hydrographic,NH03,44.6517,-124.13,20,16.8705,0.2708
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,3,3.5132,0.2804
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,30,29.686,0.2951
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,25,29.7361,0.291
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,20,25.8668,0.3277
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,15,22.5098,0.4344
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,10,15.7386,0.4885
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,3,3.5132,0.2804
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,30,29.686,0.2951
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,10,15.7386,0.4885
061217NH03,NH,12-Jun-17,Newport Hydrographic,NH03,44.6517,-124.13,0,0,0.0147
061217NH01,NH,12-Jun-17,Newport Hydrographic,NH01,44.6517,-124.1,0,0.2691,0.0705
071217NH01,NH,12-Jul-17,Newport Hydrographic,NH01,44.6517,-124.1,0,26.2586,0.3029
071217NH03,NH,12-Jul-17,Newport Hydrographic,NH03,44.6517,-124.13,0,24.9168,0.3342
